date,AAPL,GOOGL,MSFT,SPY,EEM,XLF,XLE
2019-01-31 00:00:00+00:00,164.4553449692,1125.89,103.250915232,266.2147519945,42.7746857193,25.5465973039,62.1466360985
2019-02-28 00:00:00+00:00,171.8182269289,1126.55,111.2406259538,274.8443192155,42.1196673301,26.1178010986,63.5789903641
2019-03-29 00:00:00+00:00,188.4890107141,1176.89,117.1089835311,279.8132029177,42.5960443404,25.4481596379,64.9318172174
2019-04-30 00:00:00+00:00,199.1265584627,1198.96,129.6797799658,291.2442577239,43.5984209663,27.7346337244,64.9219969184
2019-05-31 00:00:00+00:00,174.4018601308,1106.5,123.2568164237,272.6712700621,40.4027251887,25.7451043244,57.7138974269
2019-06-28 00:00:00+00:00,197.1646550357,1082.8,133.5016423683,291.6471485316,42.91,27.4589180738,63.1326014661
2019-07-31 00:00:00+00:00,212.2269508327,1218.2,135.8037384707,296.0566941561,41.77,28.1055954922,62.1317550138
2019-08-30 00:00:00+00:00,208.74,1190.53,137.86,291.1023755473,40.16,26.7823940053,56.959063448
2019-09-30 00:00:00+00:00,223.97,1221.14,139.03,296.77,40.87,28.0,59.2
2019-10-31 00:00:00+00:00,248.76,1258.8,143.37,303.33,42.58,28.7,57.96
2019-11-29 00:00:00+00:00,255.82,1272.25,143.72,306.14,43.22,29.12,59.28
